WOS_ID,Title,Year,Journal,DOI,Split
WOS:001533837400001,Climate Change and Disability-Inclusive Adaptation: Qualitative Evidence from Uzbekistan,2026,JOURNAL OF DEVELOPMENT STUDIES,10.1080/00220388.2025.2530480,Holdout_QA
WOS:001536482100001,Comparative study of the COSMO and ICON models performances over Italy: Key insights from the impactful year 2023,2026,ATMOSPHERIC RESEARCH,10.1016/j.atmosres.2025.108339,Holdout_QA
WOS:001537856000001,"Impact of the 2023 coral bleaching event in Martinique, Eastern Caribbean",2026,CORAL REEFS,10.1007/s00338-025-02694-x,Holdout_QA
WOS:001537870000001,Nutrient regimes shape mortality patterns in warming-impacted Cladocora caespitosa populations,2026,CORAL REEFS,10.1007/s00338-025-02711-z,Holdout_QA
WOS:001543456700001,Assessing the level of adaptation to heat waves in Parisian housing,2026,INTERNATIONAL JOURNAL OF VENTILATION,10.1080/14733315.2025.2530261,Holdout_QA
WOS:001558357200001,Compound drought-heatwave events accelerate the potential risk on rice yield over Southeast Asia,2026,ATMOSPHERIC RESEARCH,10.1016/j.atmosres.2025.108410,Holdout_QA
WOS:001561943100002,Non-stationary temperature extremes in South Korea: An extreme value analysis of global warming impacts,2026,ATMOSPHERIC RESEARCH,10.1016/j.atmosres.2025.108388,Holdout_QA
WOS:001568132900001,Short-term marine heatwaves have a limited impact on the lignocellulose of Thalassia hemprichii seagrass plant,2026,MARINE POLLUTION BULLETIN,10.1016/j.marpolbul.2025.118647,Holdout_QA
WOS:001571809800001,Climate Change and Livability: A Systematic Review of Adaptation Strategies and Policy Challenges,2026,SUSTAINABLE DEVELOPMENT,10.1002/sd.70242,Holdout_QA
WOS:001571931800001,On the contrasting springtime extremes in India: Heatwaves and hailstorms in 2022 and 2023,2026,QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,10.1002/qj.70022,Holdout_QA
WOS:001572274600001,Combined effects of marine heatwaves and nano-titanium dioxide (nano-TiO2) on the physiological fitness in the mussel Mytilus coruscus,2026,MARINE POLLUTION BULLETIN,10.1016/j.marpolbul.2025.118659,Holdout_QA
WOS:001573577600001,"Unravelling echinoid mass mortalities: a global overview of mechanisms, spatio-temporal trends, and taxonomic insights",2026,BIOLOGICAL REVIEWS,10.1111/brv.70078,Holdout_QA
WOS:001576967300001,The Mediterranean introduced pearl oyster Pinctada radiata: can an invasion be changed into a gain in a climate change scenario?,2026,MARINE POLLUTION BULLETIN,10.1016/j.marpolbul.2025.118736,Holdout_QA
WOS:001578829300002,VOCs-driven ozone extremes during dry and wet heatwaves in the Jiangsu-Shandong-Henan-Anhui Boundary: Integrating meteorological forcings and SHAP interpretation,2026,ATMOSPHERIC RESEARCH,10.1016/j.atmosres.2025.108396,Holdout_QA
WOS:001579234800001,Are Barcelona's climate shelters accessible to vulnerable residents? A mobility justice analysis,2026,CITIES,10.1016/j.cities.2025.106487,Holdout_QA
WOS:001581419500001,Winter wipeout? Post-disturbance recovery of brown trout indicates strong population resilience to harsh winter conditions,2026,OIKOS,10.1002/oik.11286,Holdout_QA
WOS:001583115600001,Risk or relief? The influence of river plumes on coral bleaching and disease in marginal and extreme reefs,2026,MARINE POLLUTION BULLETIN,10.1016/j.marpolbul.2025.118741,Holdout_QA
WOS:001583303100001,Unlocking Financial Potential for Urban Nature-Based Solutions: A PRISMA-Based Systematic Review,2026,SUSTAINABLE DEVELOPMENT,10.1002/sd.70243,Holdout_QA
WOS:001587205200001,Nitrogen enrichment determines coral mortality during a marine heatwave,2026,MARINE POLLUTION BULLETIN,10.1016/j.marpolbul.2025.118758,Holdout_QA
WOS:001588709600001,Thermal impact zoning of indoor overheating environments on the human body in hot and humid regions,2026,BUILDING AND ENVIRONMENT,10.1016/j.buildenv.2025.113714,Holdout_QA
WOS:001588709600002,Night-time urban heat exposure: Overheating and thermal resilience of South American bedrooms,2026,BUILDING AND ENVIRONMENT,10.1016/j.buildenv.2025.113757,Holdout_QA
WOS:001590562400001,Urban heat island effect in the context of architecture and disaster management: A systematic bibliometric review,2026,BUILDING SERVICES ENGINEERING RESEARCH & TECHNOLOGY,10.1177/01436244251386728,Holdout_QA
WOS:001591438300001,Exploring behavioral strategies for third-party market cooperation in renewable energy projects: a perspective on addressing climate change,2026,RENEWABLE ENERGY,10.1016/j.renene.2025.124572,Holdout_QA
WOS:001592709900001,Dinner is served: how climate change interferes with olive oil production,2026,SUSTAINABILITY SCIENCE,10.1007/s11625-025-01756-x,Holdout_QA
WOS:001597208800001,Urban heatwaves and mortality: A socioeconomic and environmental study using a novel building heat vulnerability index,2026,CITIES,10.1016/j.cities.2025.106558,Holdout_QA
WOS:001597556800001,"Spatial, Temporal, and Host-Specificity Patterns of Three Genera of Blood Coccidian Parasites in Two Syntopic Mediterranean Lizards",2026,INTEGRATIVE ZOOLOGY,10.1111/1749-4877.70008,Holdout_QA
WOS:001597878300001,Climate change and the health of older adults in Europe: a call for a geriatric climate medicine framework,2026,EUROPEAN GERIATRIC MEDICINE,10.1007/s41999-025-01336-3,Holdout_QA
WOS:001598088500001,"25-years study (2000-2024) of extreme precipitation following heatwaves in the Middle East: Regional patterns, trends, and atmospheric drivers",2026,ATMOSPHERIC RESEARCH,10.1016/j.atmosres.2025.108516,Holdout_QA
WOS:001600240700001,An empirical study on the compound effects of extreme weather and UHI on building energy consumption under urban local climate,2026,BUILDING AND ENVIRONMENT,10.1016/j.buildenv.2025.113824,Holdout_QA
WOS:001600729500001,Shading does not lower thermal tolerance in the coral Montipora capitata,2026,CORAL REEFS,10.1007/s00338-025-02753-3,Holdout_QA
WOS:001602657100002,Meteorological conditions and physicochemical processes amplifying ozone pollution during heatwaves in major city clusters of China,2026,ATMOSPHERIC RESEARCH,10.1016/j.atmosres.2025.108580,Holdout_QA
WOS:001603171600001,Impacts of the North Atlantic SST on the compound extreme of south-rainstorm and north-heatwave in east of China during early summer 2022,2026,ATMOSPHERIC RESEARCH,10.1016/j.atmosres.2025.108582,Holdout_QA
WOS:001603391300001,North Atlantic fingerprint on severe heatwaves over the Indian region,2026,QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,10.1002/qj.70061,Holdout_QA
WOS:001603628800001,Breeding in natural nesting sites can improve the resilience of local Lesser Kestrel (Falco naumanni) populations to environmental changes,2026,IBIS,10.1111/ibi.70003,Holdout_QA
WOS:001604163500002,"Quantifying single, compound and cascading climate extremes: Implications for agricultural resilience in California",2026,AGRICULTURAL AND FOREST METEOROLOGY,10.1016/j.agrformet.2025.110890,Holdout_QA
WOS:001604211500003,The geography of climate concern: A large-scale analysis of public discourse on extreme heat in China using social media and explainable AI,2026,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,10.1016/j.eiar.2025.108227,Holdout_QA
WOS:001604656900001,A critical assessment of selected urban resilience decision-support tools in the United States,2026,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,10.1016/j.compenvurbsys.2025.102352,Holdout_QA
WOS:001605579400006,Urban heat islands can influence the wind energy resource during heatwaves,2026,BUILDING AND ENVIRONMENT,10.1016/j.buildenv.2025.113821,Holdout_QA
WOS:001605718000001,The need for multi-method extreme event attribution,2026,WEATHER,10.1002/wea.7779,Holdout_QA
WOS:001605761400001,High-temperature acclimation of photosystem II in land plants,2026,NEW PHYTOLOGIST,10.1111/nph.70661,Holdout_QA
WOS:001605764400001,Oviposited eggs are sensitive to experimental heatwaves,2026,OIKOS,10.1002/oik.11742,Holdout_QA
WOS:001606023700002,Decline and status of natural pearl oyster (Pinctada margaritifera) stocks in two French Polynesia black pearl farming lagoons,2026,MARINE POLLUTION BULLETIN,10.1016/j.marpolbul.2025.118852,Holdout_QA
WOS:001606166700001,The Joint Occurrence Probability of Compound Drought and Heatwaves: A Copula-Based Multivariate Analysis of Duration and Severity in China,2026,INTERNATIONAL JOURNAL OF CLIMATOLOGY,10.1002/joc.70176,Holdout_QA
WOS:001606588600001,Long-term carbon sequestration and heatwave resilience in an old hemiboreal upland coniferous forest,2026,AGRICULTURAL AND FOREST METEOROLOGY,10.1016/j.agrformet.2025.110895,Holdout_QA
WOS:001606736700001,All-in-One Cooling Metafabric With Honeycomb-Like Networks for Personal Thermo-Moisture Comfort,2026,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.202523330,Holdout_QA
WOS:001607460500002,Comprehensive heatwave magnitude index considering the effect of indicator equilibrium,2026,ATMOSPHERIC RESEARCH,10.1016/j.atmosres.2025.108591,Holdout_QA
WOS:001609613000001,"Mortality risk associated with heatwave exposure based on daily maximum, minimum, and combined temperature thresholds",2026,EUROPEAN JOURNAL OF PUBLIC HEALTH,10.1093/eurpub/ckaf199,Holdout_QA
WOS:001609714600001,Coral recovery versus reassembly following major disturbances in the Central Maldivian Archipelago,2026,CORAL REEFS,10.1007/s00338-025-02780-0,Holdout_QA
WOS:001610134200001,Unravelling indoor temperature response to summer heat through long-term crowdsourced observations in Dutch residences,2026,QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,10.1002/qj.70053,Holdout_QA
WOS:001610705600001,"A review of probabilistic resource adequacy assessments in power systems: Methods, applications, and future challenges",2026,ENERGY POLICY,10.1016/j.enpol.2025.114924,Holdout_QA
WOS:001613834100001,Integrating site-level and building-level strategies to improve neighbourhood and building thermal and energy performance,2026,ENERGY AND BUILDINGS,10.1016/j.enbuild.2025.116676,Holdout_QA
WOS:001614602800001,Future heatwave conditions inhibit CO2-induced stomatal closure in wheat,2026,NEW PHYTOLOGIST,10.1111/nph.70722,Holdout_QA
WOS:001615122600002,The combined effects of marine heatwaves and heavy metals on metal accumulation in macroalgae,2026,MARINE ENVIRONMENTAL RESEARCH,10.1016/j.marenvres.2025.107681,Holdout_QA
WOS:001615952600001,Warming temperatures and prevalence of marine heatwaves in a temperate fjord,2026,CONTINENTAL SHELF RESEARCH,10.1016/j.csr.2025.105603,Holdout_QA
WOS:001615971600001,Decadal changes in California's temperate mesophotic reef invertebrate community through the 2014-2016 northeast Pacific marine heatwave,2026,MARINE ENVIRONMENTAL RESEARCH,10.1016/j.marenvres.2025.107644,Holdout_QA
WOS:001616061000005,How to optimize blue-green space to enhance urban diurnal cooling effects?,2026,ENERGY AND BUILDINGS,10.1016/j.enbuild.2025.116636,Holdout_QA
WOS:001616061000006,"Evaluating the impact of district-level microclimate, urban microenvironment and occupant behaviour upon overheating of Nordic apartment buildings",2026,ENERGY AND BUILDINGS,10.1016/j.enbuild.2025.116635,Holdout_QA
WOS:001616349100001,A prototype cooling blanket for mitigating occupant overheating risk in a hot indoor environment: Modeling and assessments,2026,BUILDING AND ENVIRONMENT,10.1016/j.buildenv.2025.113925,Holdout_QA
WOS:001616621300001,"Effects of increasing temperature on the growth, survival, and non-structural carbohydrate content of the seagrass Halophila beccarii",2026,AQUATIC BOTANY,10.1016/j.aquabot.2025.103964,Holdout_QA
WOS:001616823000001,Welcome Pathogens: Transient Heat Dampens Immune Responses to Acibenzolar-S-Methyl in Apple Plants,2026,PLANT CELL AND ENVIRONMENT,10.1111/pce.70256,Holdout_QA
WOS:001617964700002,"Beyond outdoor metrics: Uncovering hidden indoor heat hazard within heat health risk assessment - a case study of Suzhou, China",2026,BUILDING AND ENVIRONMENT,10.1016/j.buildenv.2025.113932,Holdout_QA
WOS:001618918500001,Accelerating collapse of freshwater ecosystems and fish communities in North Africa's Middle Atlas under combined climatic and anthropogenic pressures,2026,JOURNAL OF ARID ENVIRONMENTS,10.1016/j.jaridenv.2025.105517,Holdout_QA
WOS:001619330300006,Transgenerational plasticity responses of larvae of Sydney rock oysters (Saccostrea glomerata) to ocean warming,2026,MARINE POLLUTION BULLETIN,10.1016/j.marpolbul.2025.118896,Holdout_QA
WOS:001619379800003,Finding common ground: Assessing the Co-location potential of California's blue food and clean energy sectors,2026,OCEAN & COASTAL MANAGEMENT,10.1016/j.ocecoaman.2025.108009,Holdout_QA
WOS:001621270500002,Stronger rise in humid heatwaves over China shown by homogenized data from 1961 to 2022,2026,ATMOSPHERIC RESEARCH,10.1016/j.atmosres.2025.108620,Holdout_QA
WOS:001622169500001,Impact of heatwave and thinning on tree growth and soil water content in young lodgepole pine forests,2026,FOREST ECOSYSTEMS,10.1016/j.fecs.2025.100398,Holdout_QA
WOS:001622786100001,A train of marine heat waves affected benthic local beta but not alpha diversity,2026,MARINE ENVIRONMENTAL RESEARCH,10.1016/j.marenvres.2025.107705,Holdout_QA
WOS:001625087400001,Characterization of the maize-Ustilago maydis interaction in a warming climate,2026,JOURNAL OF EXPERIMENTAL BOTANY,10.1093/jxb/eraf473,Holdout_QA
WOS:001625438800001,The impact of compound droughts and heatwaves on ecosystem carbon-water dynamics in Eurasia,2026,AGRICULTURAL AND FOREST METEOROLOGY,10.1016/j.agrformet.2025.110936,Holdout_QA
WOS:001626829900002,Who suffers the heat? Partial adaptation and persistent inequalities in France,2026,ECOLOGICAL ECONOMICS,10.1016/j.ecolecon.2025.108873,Holdout_QA
WOS:001627437600006,The impacts of extreme weather events on health services and systems: A systematic review of reviews,2026,PUBLIC HEALTH,10.1016/j.puhe.2025.106049,Holdout_QA
WOS:001627562800004,Cost-benefit analysis of technologies and measures for summer comfort - A case study of residential districts in the Paris region,2026,ENERGY AND BUILDINGS,10.1016/j.enbuild.2025.116754,Holdout_QA
WOS:001628177200001,A Climatology of Heatwaves Over Greece for the Period 1960-2022,2026,INTERNATIONAL JOURNAL OF CLIMATOLOGY,10.1002/joc.70204,Holdout_QA
WOS:001628517200002,Coral reef restoration and conservation in northeastern Brazil: Integrated actions in the face of marine heatwaves,2026,MARINE POLLUTION BULLETIN,10.1016/j.marpolbul.2025.119000,Holdout_QA
WOS:001628872300001,Changes in persistent anticyclonic circulation across Eurasian continent and its linkage with extreme heatwaves,2026,GLOBAL AND PLANETARY CHANGE,10.1016/j.gloplacha.2025.105183,Holdout_QA
WOS:001628912000004,Synergistic effect of absorbing aerosols on the heat wave intensification over India: A case study of the 2024 extreme event using RegCM5 model,2026,ATMOSPHERIC ENVIRONMENT,10.1016/j.atmosenv.2025.121673,Holdout_QA
WOS:001629123200001,Seagrasses are most vulnerable to marine heatwaves in tropical zones: local-scale and broad climatic zone variation in thermal tolerances,2026,NEW PHYTOLOGIST,10.1111/nph.70742,Holdout_QA
WOS:001629424300001,Future Projections of Marine Heatwaves in the Northern Indian Ocean Using the HighResMIP Models: Role of Horizontal Resolution and Percentile Thresholds,2026,INTERNATIONAL JOURNAL OF CLIMATOLOGY,10.1002/joc.70197,Holdout_QA
WOS:001630008900001,Assessing cooling-lighting trade-offs in a low-income Jordanian housing archetype under climate change and heat waves,2026,BUILDING AND ENVIRONMENT,10.1016/j.buildenv.2025.114040,Holdout_QA
WOS:001630216700001,Structured habitats provide thermal refuges and mitigate effects of heatwaves,2026,BIOLOGICAL CONSERVATION,10.1016/j.biocon.2025.111634,Holdout_QA
WOS:001631605800004,A global analysis of the influence of shallow and deep groundwater tables on relationships between environmental parameters and heatwaves,2026,ENVIRONMENTAL RESEARCH,10.1016/j.envres.2025.123354,Holdout_QA
WOS:001631949200001,Climate change adaptation in south Asian cities: A scoping review of literature from 2008 to 2022,2026,CITIES,10.1016/j.cities.2025.106697,Holdout_QA
WOS:001632329000001,A 24-year record of Cetacean strandings in Taiwanese waters: Signals of escalating threats,2026,MARINE ENVIRONMENTAL RESEARCH,10.1016/j.marenvres.2025.107677,Holdout_QA
WOS:001632540700001,"Decadal Evolution and Multi-Scale Climate Teleconnections of Heatwaves Over Tamil Nadu, India (1981-2020): Trends, Spatial Expansion and Atmospheric Drivers",2026,INTERNATIONAL JOURNAL OF CLIMATOLOGY,10.1002/joc.70205,Holdout_QA
WOS:001632834000001,Cardiac transcriptomic analysis of thermal stress and recovery reveals dynamic metabolic regulation in the Zhikong scallop (Chlamys farreri),2026,AQUACULTURE,10.1016/j.aquaculture.2025.743464,Holdout_QA
WOS:001633132600001,Linking inter- and intra-LCZ morphological characteristics with outdoor thermal stress and building cooling demand during heatwave conditions☆,2026,ENERGY AND BUILDINGS,10.1016/j.enbuild.2025.116773,Holdout_QA
WOS:001633175200001,Climate-nutrient-morphology interactions drive algal blooms in Chinese lakes,2026,ENVIRONMENTAL RESEARCH,10.1016/j.envres.2025.123430,Holdout_QA
WOS:001633315600001,Electric fan effectiveness and thresholds for healthy young adults during prolonged heatwaves: updated thermoregulation modeling,2026,ENERGY AND BUILDINGS,10.1016/j.enbuild.2025.116779,Holdout_QA
WOS:001633386700005,Short-term effects of exposure to heat waves and ambient ozone on mortality: a case-crossover study,2026,ATMOSPHERIC ENVIRONMENT,10.1016/j.atmosenv.2025.121706,Holdout_QA
WOS:001634472700001,Successive stressors alter microbiome composition and reduce resilience in the eelgrass Zostera marina,2026,MARINE ENVIRONMENTAL RESEARCH,10.1016/j.marenvres.2025.107748,Holdout_QA
WOS:001636265600001,Effect of cold spells and heatwaves on daily new cases of COVID-19 in the Western Pacific Region: A time series analysis,2026,PUBLIC HEALTH,10.1016/j.puhe.2025.106076,Holdout_QA
WOS:001636294100002,Linking outdoor heatwave and indoor overheating: A multi- timescale coupling framework for residential buildings in hot and humid climates,2026,BUILDING AND ENVIRONMENT,10.1016/j.buildenv.2025.114086,Holdout_QA
WOS:001636416400001,How the aspect ratio of a rectangular heat source influences convective flow structures: Implications on city-scale heat and pollutants dispersion,2026,BUILDING AND ENVIRONMENT,10.1016/j.buildenv.2025.114096,Holdout_QA
WOS:001637013500001,Regional heatwave variations in China pose a threat to summer grain yields,2026,FOOD SECURITY,10.1007/s12571-025-01599-5,Holdout_QA
WOS:001637162700001,Public health impact of heatwave in Africa: an urgent call for action,2026,CRITICAL PUBLIC HEALTH,10.1080/09581596.2025.2599425,Holdout_QA
WOS:001637181900001,"Environmental tradeoffs of urban stream restoration in Fairfax County, Virginia",2026,ECOLOGICAL ENGINEERING,10.1016/j.ecoleng.2025.107866,Holdout_QA
WOS:001637195000001,Effects of winter heatwaves on carbon dioxide and methane emissions from shallow lakes: A temperature-controlled mesocosm study,2026,JOURNAL OF HYDROLOGY,10.1016/j.jhydrol.2025.134704,Holdout_QA
WOS:001637573300001,"A novel index for assessing the compound drought, heat waves, and air pollution extremes",2026,URBAN CLIMATE,10.1016/j.uclim.2025.102726,Holdout_QA
WOS:001637825600001,CLIMB: Framework for CLIMate data bias-adjustment and downscaling,2026,SOFTWAREX,10.1016/j.softx.2025.102479,Holdout_QA
WOS:001638569100001,Investigating urban wind vertical profiles during heatwaves with spatial synoptic classification using Doppler LiDAR: A case study in Hong Kong,2026,URBAN CLIMATE,10.1016/j.uclim.2025.102727,Holdout_QA
WOS:001638745900001,EAACI Guidelines on the Importance of Green Space in Urban Environments for Allergy and Asthma Prevention,2026,ALLERGY,10.1111/all.70182,Holdout_QA
WOS:001639233500001,Evaluation of the temperature-reduction effects of moss-based green roofs,2026,ENERGY AND BUILDINGS,10.1016/j.enbuild.2025.116835,Holdout_QA
WOS:001639239300001,Projected extreme temperature event-attributable dementia deaths in China: a climate-ageing-adaptation framework,2026,EBIOMEDICINE,10.1016/j.ebiom.2025.106072,Holdout_QA
WOS:001639790000001,Heatwave forecast skill in the mid-high latitudes of the Northern Hemisphere at subseasonal lead times: Regional and duration disparity,2026,SCIENCE CHINA-EARTH SCIENCES,10.1007/s11430-025-1739-8,Holdout_QA
WOS:001640293900001,Northeast Italian viticulture affected by heat and vegetation stress. A satellite-based study from 2000 to 2024,2026,AGRICULTURAL AND FOREST METEOROLOGY,10.1016/j.agrformet.2025.110962,Holdout_QA
WOS:001640374400002,Standardized compound drought and heatwave index: A new compound drought and heatwave events monitoring index considering evapotranspiration effects,2026,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,10.1016/j.jag.2025.105023,Holdout_QA
WOS:001641135100001,From comfort to survival: Indoor heat vulnerability during extreme events,2026,BUILDING AND ENVIRONMENT,10.1016/j.buildenv.2025.114070,Holdout_QA
WOS:001641205000002,Human-induced climate change and population aging scenarios will amplify the heatwave-related mortality burden in China,2026,ENVIRONMENT INTERNATIONAL,10.1016/j.envint.2025.109939,Holdout_QA
WOS:001641259700001,Analysis of rockfall-induced retreat and influencing factors in a sandstone-marl interbedded rock wall in a low-elevation environment,2026,ENGINEERING GEOLOGY,10.1016/j.enggeo.2025.108506,Holdout_QA
WOS:001641337300002,"Climate change threatens stability conferred by asynchronous coastwide recruitment of Atlantic striped bass, Morone saxatilis",2026,FISHERIES RESEARCH,10.1016/j.fishres.2025.107629,Holdout_QA
WOS:001641494100001,Predictability of temperature anomalies in Southeast Europe and the Eastern Mediterranean in June 2024 based on seasonal forecasts of the INM RAS Earth system model,2026,ATMOSPHERIC RESEARCH,10.1016/j.atmosres.2025.108700,Holdout_QA
WOS:001642022500002,Multisource data-driven assessment of joint heatwave-flood risks: Spatial heterogeneity and key determinants,2026,URBAN CLIMATE,10.1016/j.uclim.2025.102739,Holdout_QA
WOS:001642455100001,"Short-term heat stress adaptation in intertidal oysters (Crassostrea sikamea): Integrative biochemical, transcriptomic and metabolomic insights",2026,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2025.104355,Holdout_QA
WOS:001642662900001,"Hot weather, maternal health, and pregnancy experiences, impacts and responses: A systematic review of global qualitative research",2026,WOMEN AND BIRTH,10.1016/j.wombi.2025.102152,Holdout_QA
WOS:001643300700001,Assessing exposure inequity to heatwaves between urban and rural populations across 18 Asian countries in a warmer climate,2026,CLIMATE RISK MANAGEMENT,10.1016/j.crm.2025.100777,Holdout_QA
WOS:001643786000001,GPP-net: a robust high-resolution GPP estimation network for Sentinel-2 using only surface reflectance and photosynthetically active radiation,2026,REMOTE SENSING OF ENVIRONMENT,10.1016/j.rse.2025.115198,Holdout_QA
WOS:001643859400001,"Suppressing the adaptation pathway: Negative effects of heat exposure risk on perception, impact, and behavior",2026,URBAN CLIMATE,10.1016/j.uclim.2025.102730,Holdout_QA
WOS:001644062300001,Multi-dimensional assessment of urban-scale rooftop photovoltaics using WRF: Hong Kong as a case study,2026,ENERGY AND BUILDINGS,10.1016/j.enbuild.2025.116871,Holdout_QA
WOS:001644074100001,A hierarchical energy management system for a cluster of buildings: Reinforcement learning and model predictive control (RL-MPC) approach,2026,ENERGY AND BUILDINGS,10.1016/j.enbuild.2025.116879,Holdout_QA
WOS:001644123200001,An ANN-based framework for mapping urban tree cooling and exposure inequality in a high-density city: A case study of Hong Kong,2026,URBAN FORESTRY & URBAN GREENING,10.1016/j.ufug.2025.129227,Holdout_QA
WOS:001644301900001,Propagation of different types of compound drought-hot events: Spatiotemporal patterns and response relationship,2026,JOURNAL OF HYDROLOGY-REGIONAL STUDIES,10.1016/j.ejrh.2025.103031,Holdout_QA
WOS:001644455200001,Precipitation bursts in northern Australia with and without preceding heatwaves,2026,WEATHER AND CLIMATE EXTREMES,10.1016/j.wace.2025.100845,Holdout_QA
WOS:001644996800001,A novel multivariate normalized compromised programming approach of ranking CMIP6 models over urban centers for assessing heatwave dynamics,2026,URBAN CLIMATE,10.1016/j.uclim.2025.102743,Holdout_QA
WOS:001645004900002,Assessing context-dependent effectiveness of heat adaptation through human mobility under different heatwave regimes,2026,SUSTAINABLE CITIES AND SOCIETY,10.1016/j.scs.2025.107066,Holdout_QA
WOS:001645763400002,"Adaptation strategies in vulnerable communities to heat waves: Social influential factors, challenges, and opportunities from citizens and stakeholders' perspectives",2026,SUSTAINABLE CITIES AND SOCIETY,10.1016/j.scs.2025.107047,Holdout_QA
WOS:001646118700001,CSN2 of COP9 signalosome underpins high temperature adaptation of the diatom Phaeodactylum tricornutum through regulating protein ubiquitination,2026,ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,10.1016/j.algal.2025.104457,Holdout_QA
WOS:001647575900001,Characterizing Heatwave Variability over Two Distinct Regions of India and Associated Land-Atmospheric Parameters,2026,PURE AND APPLIED GEOPHYSICS,10.1007/s00024-025-03900-1,Holdout_QA
WOS:001647857500001,A Characterisation of Extreme-Heat Occurrence and Its Trends in Mexico Based on a High Resolution Dataset,2026,INTERNATIONAL JOURNAL OF CLIMATOLOGY,10.1002/joc.70231,Holdout_QA
WOS:001648200400001,Improved gap-filling of eddy covariance CO2 fluxes using remote sensing and environmental variables via XGBoost,2026,AGRICULTURAL AND FOREST METEOROLOGY,10.1016/j.agrformet.2025.110987,Holdout_QA
WOS:001648206100001,Influence of atmospheric parameters on the interaction between Urban Heat and Pollution Islands in a Mediterranean coastal city,2026,ATMOSPHERIC RESEARCH,10.1016/j.atmosres.2025.108702,Holdout_QA
WOS:001648224700001,Each temperature degree counts: warming enhances polystyrene nanoplastic toxicity via metabolic disruption in a marine cellular model,2026,AQUATIC TOXICOLOGY,10.1016/j.aquatox.2025.107685,Holdout_QA
WOS:001648553900043,Integrated Artificial Intelligence and Physics-Based Modeling for Long-Term Cascaded Hydropower Scheduling Under Extreme Heat Events,2026,IEEE TRANSACTIONS ON SUSTAINABLE ENERGY,10.1109/TSTE.2025.3584176,Holdout_QA
WOS:001648623200001,Interaction of extreme temperature events and fine particulate matter components on pregnancy outcomes in women undergoing assisted reproductive technology: A longitudinal study in Eastern China,2026,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,10.1016/j.ecoenv.2025.119597,Holdout_QA
WOS:001648740100001,Heatwave attribution in seconds,2026,NATURE CLIMATE CHANGE,10.1038/s41558-025-02532-6,Holdout_QA
WOS:001648953100001,Mussels enhance digestive enzyme activity in preparation for stressful fluctuating environments,2026,JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMS AND ENVIRONMENTAL PHYSIOLOGY,10.1007/s00360-025-01637-w,Holdout_QA
WOS:001649591600001,Is hyperthermia mortality driven by maladaptive thermoregulation leading to hyperdynamic shock and secondary multi-organ failure?,2026,MEDICAL HYPOTHESES,10.1016/j.mehy.2025.111853,Holdout_QA
